Type,Latency
4,3.1045e+05
4,3.1109e+05
4,3.1177e+05
5,3.1265e+05
5,3.1362e+05
5,3.1456e+05
5,3.1546e+05
5,3.1629e+05
5,3.1707e+05
5,3.1784e+05
4,3.1853e+05
4,3.1918e+05
4,3.1982e+05
4,3.2045e+05
4,3.211e+05
4,3.2179e+05
4,3.225e+05
4,3.2332e+05
5,3.2422e+05
5,3.2514e+05
5,3.2605e+05
5,3.2693e+05
5,3.2774e+05
5,3.285e+05
4,3.2917e+05
4,3.2981e+05
4,3.3042e+05
4,3.3104e+05
4,3.3169e+05
4,3.324e+05
4,3.332e+05
5,3.3411e+05
5,3.3509e+05
5,3.3611e+05
5,3.3709e+05
5,3.3803e+05
5,3.3881e+05
4,3.395e+05
4,3.4015e+05
4,3.4077e+05
4,3.4141e+05
4,3.4206e+05
4,3.4275e+05
4,3.4359e+05
5,3.4457e+05
5,3.4554e+05
5,3.4651e+05
5,3.4746e+05
5,3.4836e+05
5,3.4915e+05
4,3.4984e+05
4,3.5049e+05
4,3.5112e+05
4,3.5174e+05
4,3.524e+05
4,3.5307e+05
4,3.5381e+05
5,3.5471e+05
5,3.5563e+05
5,3.5655e+05
5,3.5745e+05
5,3.5831e+05
5,3.5911e+05
5,3.5983e+05
4,3.6049e+05
4,3.6113e+05
4,3.6176e+05
4,3.6241e+05
4,3.6308e+05
4,3.6379e+05
5,3.6465e+05
5,3.6556e+05
5,3.6646e+05
5,3.673e+05
5,3.681e+05
5,3.6886e+05
5,3.6957e+05
4,3.7023e+05
4,3.7087e+05
4,3.7151e+05
4,3.7216e+05
5,3.7285e+05
5,3.7359e+05
4,3.7436e+05
5,3.7524e+05
5,3.7614e+05
5,3.7701e+05
5,3.7784e+05
5,3.7863e+05
5,3.7939e+05
5,3.8009e+05
4,3.8074e+05
4,3.8137e+05
4,3.8198e+05
4,3.8262e+05
4,3.8331e+05
4,3.8405e+05
5,3.849e+05
5,3.8584e+05
5,3.868e+05
5,3.8771e+05
5,3.8853e+05
5,3.8928e+05
5,3.8997e+05
4,3.9063e+05
4,3.9127e+05
4,3.9189e+05
4,3.9251e+05
4,3.9314e+05
4,3.9378e+05
4,3.9448e+05
5,3.9535e+05
5,3.9624e+05
5,3.9715e+05
5,3.9801e+05
5,3.9884e+05
5,3.9958e+05
5,4.0027e+05
4,4.0091e+05
4,4.0153e+05
4,4.0216e+05
4,4.0281e+05
4,4.0349e+05
4,4.0425e+05
5,4.0505e+05
5,4.0592e+05
5,4.0681e+05
5,4.0773e+05
5,4.0861e+05
5,4.0942e+05
5,4.1018e+05
5,4.1086e+05
4,4.1149e+05
4,4.1209e+05
4,4.1269e+05
4,4.1329e+05
4,4.1394e+05
4,4.147e+05
5,4.1555e+05
5,4.1651e+05
5,4.1753e+05
5,4.1854e+05
5,4.1957e+05
5,4.2054e+05
4,4.2133e+05
4,4.2203e+05
4,4.2269e+05
4,4.2335e+05
4,4.2401e+05
4,4.2471e+05
4,4.2544e+05
5,4.2632e+05
5,4.2727e+05
5,4.2817e+05
5,4.2904e+05
5,4.2988e+05
5,4.3066e+05
5,4.3137e+05
4,4.3202e+05
4,4.3265e+05
4,4.3326e+05
4,4.3387e+05
4,4.3450e+05
4,4.3519e+05
4,4.3596e+05
5,4.3686e+05
5,4.3779e+05
5,4.3875e+05
5,4.397e+05
5,4.4062e+05
5,4.4143e+05
4,4.4213e+05
4,4.4278e+05
4,4.4342e+05
4,4.4404e+05
4,4.4467e+05
4,4.4531e+05
4,4.4602e+05
5,4.4682e+05
5,4.4766e+05
5,4.4855e+05
5,4.4945e+05
5,4.5034e+05
5,4.5119e+05
4,4.5191e+05
4,4.5256e+05
4,4.5319e+05
4,4.5382e+05
4,4.5446e+05
4,4.5517e+05
4,4.5593e+05
5,4.5682e+05
5,4.5777e+05
5,4.587e+05
5,4.5961e+05
5,4.6043e+05
5,4.612e+05
